id,x,y
0,1.1357306,0.120682456
1,0.5978177,1.1455872
2,0.63486445,1.3918402
3,0.9346695,0.5853505
4,0.5154157,1.2627289
5,0.6435827,1.0794202
6,0.6988353,0.9746841
7,0.846828,0.5182394
8,1.075121,0.25782126
9,1.4064267,-0.1667362
10,1.1819109,-0.019165015
11,0.80190426,0.64896494
12,1.0183245,0.1701141
13,0.6248131,1.871859
14,0.7672908,1.111569
15,0.6158413,1.3949864
16,0.5381695,2.1449268
17,0.75693345,1.1238164
18,0.5722232,1.5942843
19,1.1045128,0.22998801
20,0.6626375,1.3602808
21,0.9730259,0.3659125
22,1.2439178,-0.025815088
23,0.94909126,0.4024613
24,0.61564773,1.7134804
25,1.0266976,0.34418482
26,0.5839163,1.4598371
27,1.1341571,-0.06334871
28,1.0705037,0.17354918
29,0.9831779,0.1790039
30,0.9747805,0.6267526
31,0.66665125,1.4088693
32,1.0095087,0.3508925
33,1.220712,-0.16802475
34,1.2125646,-0.15953422
35,1.147594,0.23938234
36,0.74978995,1.44217
37,1.124993,-0.035430927
38,0.65301275,1.7797431
39,0.8866281,0.35536045
40,0.6054898,1.559159
41,1.1057097,0.1895028
42,0.66176826,1.2986745
43,0.63537234,1.6872095
44,1.0075171,0.3563603
45,0.64612955,1.6767275
46,1.2058561,-0.110958934
47,0.8563418,0.8837972
48,0.7394732,1.3438518
49,1.120972,-0.036229525
50,0.93211085,0.3466616
51,1.4531692,-0.16807124
52,1.3424764,-0.1220076
53,0.7299901,1.059283
54,0.658416,0.87673676
55,1.440637,-0.24904272
56,0.4474926,1.5914043
57,0.99142134,0.1164969
58,0.9763121,0.40254053
59,1.0607347,0.2524165
60,0.75071734,0.70979506
61,0.950701,0.40923056
62,1.1066692,0.01042345
63,0.59911066,1.7296026
64,0.63718224,1.0554764
65,1.0150639,0.22060187
66,1.1428351,-0.17816558
67,1.1477611,-0.0076876045
68,0.7148236,1.0228503
69,1.2427547,0.06973492
70,0.584712,1.7584769
71,1.1739621,-0.03682755
72,1.1287057,0.033246424
73,1.1766483,0.22853956
74,0.75262016,1.192783
75,0.65350324,1.3852118
76,0.6386119,1.5754262
77,0.8569734,0.9667846
78,0.60149837,1.6778622
79,0.6596064,1.2343686
80,0.6928611,1.5756514
81,0.5867343,1.5901319
82,0.82634854,0.8675862
83,0.6249209,1.5352136
84,0.7250035,0.57518834
85,0.64069325,1.6613897
86,0.78841496,1.039721
