id,x,y
5455,4.8597393,-3.452273
5690,5.4040513,2.4287179
5624,5.3883734,2.4631336
5861,5.4016542,2.4198902
5918,6.6323047,-4.9275312
5446,4.871909,-3.413402
5701,5.643992,2.544665
5780,5.615128,-3.6654255
5910,5.6216187,2.5475774
5644,5.4019046,2.42442
5770,5.33419,-3.6283107
5636,7.5280366,-5.3156633
5791,5.684385,2.5973186
5467,5.398766,2.4109464
5830,5.5676837,2.4281611
5828,5.4409966,2.4371214
5809,5.385988,2.422195
5688,5.3770413,2.4247653
5679,5.390082,2.4321177
5599,5.543829,-3.6699305
5721,4.8874965,-3.4559505
5474,5.1044126,-3.5357811
5683,5.3990684,2.4001234
5922,5.3645473,2.41394
5565,4.9725084,-3.4633274
5904,4.921625,-3.194336
5612,5.3959684,2.4362397
5773,4.709621,-3.379995
5630,5.389076,2.40249
5793,5.383524,2.413503
5602,5.053712,-3.512414
5759,10.951607,-10.006445
5464,6.373682,-4.8812857
5783,6.6476703,-4.1128693
5882,5.473677,2.5423563
5483,5.913507,-3.6751678
5623,7.5339675,-4.948821
5858,5.6795373,-3.49821
5928,7.1608133,-4.1406684
5584,6.132622,-3.8349023
5917,5.3523326,2.4179468
5747,5.37007,2.4449477
5491,5.344625,-3.9014354
5736,5.511499,2.4828293
5439,5.5570545,2.434297
5628,5.3660274,2.3902748
5545,5.4442163,-3.6131794
5754,5.7901196,2.4579864
5586,6.069699,-3.6218877
5757,5.347886,2.4464273
5473,6.7147746,-4.877633
5854,5.334668,2.4243393
5574,5.4289713,-3.6110044
5519,6.040455,-4.014554
5509,5.6713967,-3.6756003
5551,5.8469563,-3.742972
5746,5.500793,2.5182605
5897,5.015445,-3.3737912
5466,4.967852,-3.4683893
5907,4.889948,-3.396888
5888,5.6250815,2.4935064
5500,5.5302286,-3.6216686
5930,4.871874,-3.371219
5715,5.3344407,2.4266086
5764,6.9463763,-5.0994697
5581,5.0172696,-3.4875624
5702,5.3356285,2.4129114
5839,5.3523765,2.3890965
5758,5.318865,2.405053
5911,5.2603207,-3.445667
5935,5.3452725,2.4089663
5799,7.208166,-5.2515564
5714,5.323219,2.4123883
5461,4.7974553,-3.3383112
5524,6.120005,3.2530303
5913,11.101358,-8.976446
5538,6.197527,-4.188754
5575,5.439834,-3.6202722
5535,6.487502,-5.1131573
5903,6.49114,-4.230191
5739,5.5170927,2.8042936
5814,5.299237,2.4016626
5749,5.428724,2.4305787
5454,5.2769027,-3.540193
5650,5.554649,2.9246383
5530,5.397013,-3.6781487
5675,5.3830776,2.3859725
5893,5.2871895,2.5681255
5670,4.925771,-3.3760493
5669,5.616702,2.8944025
5552,5.6552253,-3.942415
5891,5.3039417,2.415181
5806,7.652275,-4.7680926
5803,5.801525,2.7723763
5820,5.480464,2.427857
5772,5.42947,-3.5878928
5580,7.3548713,-5.343459
5878,7.2559357,-5.291601
5441,5.4226465,-3.58692
5585,5.3149095,-3.5764422
5615,5.4787445,2.808092
5460,5.0094037,-3.453912
5638,5.304159,2.4062853
5884,7.5808015,-5.3625216
5654,5.321945,2.457744
5485,5.2553506,-3.5553799
5659,5.3412137,2.4493256
5890,7.854191,-5.168609
5459,5.3579764,2.3798165
5465,5.338918,2.4144256
5744,5.233622,2.4266777
5745,5.25149,2.4145207
5595,4.9174547,-3.4057996
5666,5.252813,2.4251037
5889,5.2098026,2.4083652
5506,5.1138783,-3.4540079
5600,5.072837,-3.4342089
