id,x,y
0,1.3283651,0.7086597
1,1.0780586,0.48414412
2,1.1671157,0.44982803
3,0.87340176,0.4089656
4,0.9216836,0.22256982
5,1.100172,0.45317718
6,1.0597799,0.5115024
7,1.0605333,0.52379096
8,1.2603321,0.6983093
9,1.3152417,0.6923027
10,1.1154335,0.631801
11,1.2763093,0.76859206
12,1.2673799,0.33195472
13,1.0009326,0.22724345
14,1.1187409,0.0038495474
15,1.3877976,0.73155326
16,1.0462786,0.3076817
17,0.8449366,0.02034311
18,0.891882,-0.047657885
19,1.2686703,0.53674746
20,1.276795,0.70849943
21,1.2835407,0.9099037
22,1.4637942,0.8526308
23,1.132652,0.5861579
24,1.1581602,0.48378593
25,1.1494792,0.56725323
26,0.8593278,0.15994701
27,1.4341211,0.9398196
28,1.5066676,0.78221995
29,1.2984514,0.7405929
30,0.89809,0.22631763
31,0.9985157,0.34400672
32,0.96568906,0.19728953
33,1.310353,0.81376505
34,1.2284248,0.7802416
35,1.031388,0.45075896
36,0.8441904,-0.2555036
37,1.1853474,0.48670617
38,0.91863036,0.3419856
39,1.0257204,0.52383626
40,0.9131404,-0.25778478
41,1.2230406,0.6742521
42,1.093983,0.29089502
43,1.0792235,0.10139887
44,1.0945343,0.57501423
45,1.1236445,0.29005787
46,1.4481264,0.97932905
47,0.86229813,0.2743594
48,1.0471323,0.22803059
49,1.4309677,0.9581185
50,1.2653493,0.87705296
51,1.411647,0.7117668
52,1.4000573,0.91654825
53,0.83700687,0.097285405
54,0.94779086,0.17010424
55,1.225081,0.7031357
56,0.90879387,0.34252074
57,1.4728245,0.8378652
58,1.0607648,0.3808561
59,1.643204,0.79489267
60,1.3837146,0.8027023
61,1.2828652,0.5961378
62,1.3740957,0.84183
63,0.85656685,0.17319083
64,1.1646637,0.44260183
65,1.1709384,0.59138155
66,1.7870743,0.9550477
67,1.1831931,0.60290986
68,1.1412373,0.36795288
69,1.1020786,0.5969628
70,1.1147975,0.39693797
71,1.4785085,0.9276374
72,1.3489163,0.7719877
73,1.1168957,0.34683785
74,0.9243622,0.17568083
75,0.9782417,0.32508004
76,1.2007937,0.45616767
77,1.0249896,-0.14669159
78,0.9054388,0.056799944
79,1.244084,0.5331581
80,0.8533309,0.3169712
81,1.3427488,0.7137482
82,1.1561141,0.43947673
83,0.8394086,-0.046203516
84,1.2665625,0.6379761
85,1.1377767,0.3658472
86,0.9627052,0.62056834
87,1.6737636,0.99164623
88,1.1869797,0.68540466
89,0.9965422,0.23394248
90,1.0567324,0.37663952
91,1.3651783,0.66739
92,1.2325068,0.44429576
93,1.0214775,0.42282158
94,1.5073982,0.6782593
95,1.2766072,0.6347724
96,1.0134537,0.3620111
97,1.1319386,0.29768997
98,1.3581252,0.7873353
99,1.0699531,-0.6153268
100,1.4269055,0.905495
101,1.004113,-1.3318858
102,1.0842186,0.46081343
103,0.77037716,0.032373987
104,1.3084875,0.5834613
105,1.1478968,0.30158174
106,1.7607958,1.055636
107,1.2074249,0.44170812
108,1.4402795,0.946859
109,1.2567784,0.5551212
110,1.6516014,0.8924538
111,1.7774822,0.961768
112,1.5000138,0.84880614
113,1.117928,0.32993454
114,1.3438365,0.50447506
115,0.9498926,-0.27248776
116,1.4084771,0.72732985
117,0.9813561,0.56997633
118,1.6096658,0.8354467
119,1.2516512,0.5011057
120,1.7929511,1.195595
121,1.3506477,0.54457545
122,1.2936938,0.68028283
123,1.0536951,0.2964763
124,1.5185571,0.92735875
